,states,x,y
0,andhra pradesh,-99.0,-140.0
1,arunachal pradesh,185.0,118.0
2,assam,162.0,78.0
3,bihar,41.0,64.0
4,chhattisgarh,-28.0,-24.0
5,goa,-184.0,-136.0
6,haryana,-118.0,148.0
7,himachal pradesh,-99.0,207.0
8,karnataka,-152.0,-152.0
9,kerala,-145.0,-244.0
10,maharashtra,-148.0,-59.0
11,manipur,180.0,44.0
12,meghalaya,138.0,62.0
13,mizoram,162.0,18.0
14,nagaland,190.0,74.0
15,odisha,14.0,-43.0
16,punjab,-132.0,184.0
17,rajasthan,-167.0,97.0
18,sikkim,87.0,102.0
19,tamil nadu,-110.0,-240.0
20,telangana,-87.0,-88.0
21,tripura,142.0,22.0
22,uttarakhand,-70.0,165.0
23,west bengal,78.0,8.0
